tensor(8.0051, grad_fn=<AddBackward0>)
tensor(9.6202, grad_fn=<AddBackward0>)
tensor(9.2906, grad_fn=<AddBackward0>)
tensor(8.4498, grad_fn=<AddBackward0>)
tensor(9.5402, grad_fn=<AddBackward0>)
tensor(9.5990, grad_fn=<AddBackward0>)
tensor(10.9820, grad_fn=<AddBackward0>)
tensor(9.6419, grad_fn=<AddBackward0>)
tensor(10.5868, grad_fn=<AddBackward0>)
tensor(9.9358, grad_fn=<AddBackward0>)
tensor(9.6564, grad_fn=<AddBackward0>)
tensor(9.8352, grad_fn=<AddBackward0>)
tensor(9.2626, grad_fn=<AddBackward0>)
tensor(9.2193, grad_fn=<AddBackward0>)
tensor(10.5417, grad_fn=<AddBackward0>)
tensor(9.4514, grad_fn=<AddBackward0>)
tensor(8.8211, grad_fn=<AddBackward0>)
tensor(9.7270, grad_fn=<AddBackward0>)
tensor(7.8611, grad_fn=<AddBackward0>)
tensor(9.2946, grad_fn=<AddBackward0>)
tensor(9.7254, grad_fn=<AddBackward0>)
tensor(8.6310, grad_fn=<AddBackward0>)
tensor(9.4065, grad_fn=<AddBackward0>)
tensor(10.4816, grad_fn=<AddBackward0>)
tensor(9.2865, grad_fn=<AddBackward0>)
tensor(9.4232, grad_fn=<AddBackward0>)
tensor(10.1054, grad_fn=<AddBackward0>)
tensor(9.1267, grad_fn=<AddBackward0>)
tensor(8.5535, grad_fn=<AddBackward0>)
tensor(10.4929, grad_fn=<AddBackward0>)
tensor(9.1259, grad_fn=<AddBackward0>)
tensor(9.4924, grad_fn=<AddBackward0>)
tensor(8.8655, grad_fn=<AddBackward0>)
tensor(8.8236, grad_fn=<AddBackward0>)
tensor(8.7347, grad_fn=<AddBackward0>)
tensor(8.1342, grad_fn=<AddBackward0>)
tensor(7.2951, grad_fn=<AddBackward0>)
tensor(9.3497, grad_fn=<AddBackward0>)
tensor(9.7522, grad_fn=<AddBackward0>)
tensor(10.6065, grad_fn=<AddBackward0>)
tensor(8.1844, grad_fn=<AddBackward0>)
tensor(8.5057, grad_fn=<AddBackward0>)
tensor(8.4583, grad_fn=<AddBackward0>)
tensor(9.2465, grad_fn=<AddBackward0>)
tensor(8.9099, grad_fn=<AddBackward0>)
tensor(8.9007, grad_fn=<AddBackward0>)
tensor(8.4708, grad_fn=<AddBackward0>)
tensor(10.0691, grad_fn=<AddBackward0>)
tensor(9.5213, grad_fn=<AddBackward0>)
tensor(6.8836, grad_fn=<AddBackward0>)
tensor(9.1017, grad_fn=<AddBackward0>)
tensor(7.0954, grad_fn=<AddBackward0>)
tensor(10.1429, grad_fn=<AddBackward0>)
tensor(7.4778, grad_fn=<AddBackward0>)
tensor(7.6641, grad_fn=<AddBackward0>)
tensor(8.2714, grad_fn=<AddBackward0>)
tensor(10.0595, grad_fn=<AddBackward0>)
tensor(8.3234, grad_fn=<AddBackward0>)
tensor(7.4652, grad_fn=<AddBackward0>)
tensor(10.2212, grad_fn=<AddBackward0>)
tensor(8.2708, grad_fn=<AddBackward0>)
tensor(8.8999, grad_fn=<AddBackward0>)
tensor(7.3486, grad_fn=<AddBackward0>)
tensor(9.5999, grad_fn=<AddBackward0>)
tensor(8.4000, grad_fn=<AddBackward0>)
tensor(7.7605, grad_fn=<AddBackward0>)
tensor(9.4727, grad_fn=<AddBackward0>)
tensor(7.8893, grad_fn=<AddBackward0>)
tensor(8.6619, grad_fn=<AddBackward0>)
tensor(9.9368, grad_fn=<AddBackward0>)
tensor(7.6984, grad_fn=<AddBackward0>)
tensor(9.2184, grad_fn=<AddBackward0>)
tensor(8.2314, grad_fn=<AddBackward0>)
tensor(8.0374, grad_fn=<AddBackward0>)
tensor(8.1817, grad_fn=<AddBackward0>)
tensor(9.9303, grad_fn=<AddBackward0>)
tensor(8.1621, grad_fn=<AddBackward0>)
tensor(7.0069, grad_fn=<AddBackward0>)
tensor(8.5441, grad_fn=<AddBackward0>)
tensor(6.4579, grad_fn=<AddBackward0>)
tensor(9.6720, grad_fn=<AddBackward0>)
tensor(9.2439, grad_fn=<AddBackward0>)
tensor(7.5521, grad_fn=<AddBackward0>)
tensor(9.8173, grad_fn=<AddBackward0>)
tensor(9.3074, grad_fn=<AddBackward0>)
tensor(8.1637, grad_fn=<AddBackward0>)
tensor(7.4149, grad_fn=<AddBackward0>)
tensor(8.7796, grad_fn=<AddBackward0>)
tensor(9.3725, grad_fn=<AddBackward0>)
tensor(9.2357, grad_fn=<AddBackward0>)
tensor(8.1326, grad_fn=<AddBackward0>)
tensor(9.0484, grad_fn=<AddBackward0>)
tensor(9.1817, grad_fn=<AddBackward0>)
tensor(7.7840, grad_fn=<AddBackward0>)
tensor(8.1116, grad_fn=<AddBackward0>)
tensor(8.8097, grad_fn=<AddBackward0>)
tensor(9.9611, grad_fn=<AddBackward0>)
tensor(7.0424, grad_fn=<AddBackward0>)
tensor(7.5124, grad_fn=<AddBackward0>)
tensor(8.1129, grad_fn=<AddBackward0>)
tensor(7.6287, grad_fn=<AddBackward0>)
tensor(8.7755, grad_fn=<AddBackward0>)
