tensor(282.5609, grad_fn=<AddBackward0>)
tensor(17.3957, grad_fn=<AddBackward0>)
tensor(17.7640, grad_fn=<AddBackward0>)
tensor(19.4432, grad_fn=<AddBackward0>)
tensor(19.4804, grad_fn=<AddBackward0>)
tensor(19.7667, grad_fn=<AddBackward0>)
tensor(21.2691, grad_fn=<AddBackward0>)
tensor(21.5667, grad_fn=<AddBackward0>)
tensor(21.3991, grad_fn=<AddBackward0>)
tensor(21.9772, grad_fn=<AddBackward0>)
tensor(23.4795, grad_fn=<AddBackward0>)
tensor(23.3858, grad_fn=<AddBackward0>)
tensor(26.1607, grad_fn=<AddBackward0>)
tensor(27.3859, grad_fn=<AddBackward0>)
tensor(36.6537, grad_fn=<AddBackward0>)
tensor(22.7450, grad_fn=<AddBackward0>)
tensor(22.9798, grad_fn=<AddBackward0>)
tensor(20.0056, grad_fn=<AddBackward0>)
tensor(22.7764, grad_fn=<AddBackward0>)
tensor(23.4888, grad_fn=<AddBackward0>)
tensor(21.5365, grad_fn=<AddBackward0>)
tensor(23.2137, grad_fn=<AddBackward0>)
tensor(22.7166, grad_fn=<AddBackward0>)
tensor(19.4196, grad_fn=<AddBackward0>)
tensor(20.0404, grad_fn=<AddBackward0>)
tensor(20.3284, grad_fn=<AddBackward0>)
tensor(17.9049, grad_fn=<AddBackward0>)
tensor(17.0010, grad_fn=<AddBackward0>)
tensor(15.6469, grad_fn=<AddBackward0>)
tensor(16.2688, grad_fn=<AddBackward0>)
tensor(17.1664, grad_fn=<AddBackward0>)
tensor(15.1299, grad_fn=<AddBackward0>)
tensor(14.0009, grad_fn=<AddBackward0>)
tensor(14.4692, grad_fn=<AddBackward0>)
tensor(14.0728, grad_fn=<AddBackward0>)
tensor(14.3082, grad_fn=<AddBackward0>)
tensor(14.1722, grad_fn=<AddBackward0>)
tensor(13.5134, grad_fn=<AddBackward0>)
tensor(14.1521, grad_fn=<AddBackward0>)
tensor(12.7739, grad_fn=<AddBackward0>)
tensor(12.5218, grad_fn=<AddBackward0>)
tensor(12.5457, grad_fn=<AddBackward0>)
tensor(12.8795, grad_fn=<AddBackward0>)
tensor(12.2832, grad_fn=<AddBackward0>)
tensor(11.8042, grad_fn=<AddBackward0>)
tensor(11.9043, grad_fn=<AddBackward0>)
tensor(11.5259, grad_fn=<AddBackward0>)
tensor(11.6890, grad_fn=<AddBackward0>)
tensor(11.5691, grad_fn=<AddBackward0>)
tensor(10.5232, grad_fn=<AddBackward0>)
tensor(10.6285, grad_fn=<AddBackward0>)
tensor(11.3842, grad_fn=<AddBackward0>)
tensor(10.4526, grad_fn=<AddBackward0>)
tensor(10.6826, grad_fn=<AddBackward0>)
tensor(10.6309, grad_fn=<AddBackward0>)
